Title,Genre(s),Director(s),Rating
Doctor Who: The Day of the Doctor,"Science Fiction, Adventure",Nick Hurran,82
The Kid,"Comedy, Drama",Charlie Chaplin,82
The Help,Drama,Tate Taylor,82
Shutter Island,"Drama, Thriller, Mystery",Martin Scorsese,82
The Usual Suspects,"Drama, Crime, Thriller",Bryan Singer,82
"Miraculous World: New York, United HeroeZ","Animation, TV Movie, Fantasy, Action",Thomas Astruc,82
My Hero Academia: Heroes Rising,"Animation, Action, Fantasy, Adventure",Kenji Nagasaki,82
Children of Paradise,"Drama, Romance",Marcel Carné,82
Stalker,"Science Fiction, Drama",Andrei Tarkovsky,82
Hacksaw Ridge,"Drama, History, War",Mel Gibson,82
8½,"Fantasy, Drama",Federico Fellini,82
Maquia: When the Promised Flower Blooms,"Animation, Fantasy, Drama",Mari Okada,82
Investigation of a Citizen Above Suspicion,"Drama, Thriller",Elio Petri,82
Vertigo,"Mystery, Romance, Thriller",Alfred Hitchcock,82
Memento,"Mystery, Thriller",Christopher Nolan,82
Sansho the Bailiff,Drama,Kenji Mizoguchi,82
Portrait of a Lady on Fire,"Drama, Romance",Céline Sciamma,82
"ariana grande: excuse me, i love you","Music, Documentary",Paul Dugdale,82
Purple Hearts,"Romance, Drama",Elizabeth Allen Rosenbaum,82
Out of the Clear Blue Sky,"Comedy, Drama, Music",Pepe Bojórquez,82
Bo Burnham: Inside,"Comedy, Drama",Bo Burnham,82
Jujutsu Kaisen 0,"Animation, Action, Fantasy",Sunghoo Park,82
The Hate U Give,"Crime, Drama","George Tillman, Jr.",82
Capernaum,Drama,Nadine Labaki,82
Joker,"Crime, Thriller, Drama",Todd Phillips,82
Call Me by Your Name,"Romance, Drama",Luca Guadagnino,82
Casablanca,"Drama, Romance",Michael Curtiz,82
Django Unchained,"Drama, Western",Quentin Tarantino,82
Singin' in the Rain,"Comedy, Music, Romance","Stanley Donen, Gene Kelly",82
Mortal Kombat Legends: Scorpion's Revenge,"Animation, Action, Fantasy",Ethan Spaulding,82
Piper,"Family, Animation",Alan Barillaro,82
The Departed,"Drama, Thriller, Crime",Martin Scorsese,82
Scarface,"Action, Crime, Drama",Brian De Palma,82
My Mom is a Character 3,Comedy,Susana Garcia,82
Taxi Driver,"Crime, Drama",Martin Scorsese,82
