Title,Genre(s),Director(s),Rating
Jack Reacher,"Crime, Drama, Thriller, Action",Christopher McQuarrie,66
Diary of a Wimpy Kid: Rodrick Rules,"Family, Comedy",David Bowers,66
World's Greatest Dad,"Comedy, Romance, Drama",Bobcat Goldthwait,66
Working Girl,"Comedy, Romance, Drama",Mike Nichols,66
To Die For,"Drama, Comedy, Crime",Gus Van Sant,66
The Kid Detective,"Comedy, Drama, Mystery",Evan Morgan,66
The Finest Hours,"Action, Drama, History, Thriller",Craig Gillespie,66
Return to Me,"Romance, Comedy",Bonnie Hunt,66
The Nile Hilton Incident,"Thriller, Drama, Crime",Tarik Saleh,66
Housebound,"Horror, Comedy, Thriller",Gerard Johnstone,66
The Kids Are All Right,"Comedy, Drama",Lisa Cholodenko,66
Bad Boys II,"Adventure, Action, Comedy, Thriller, Crime",Michael Bay,66
Scoop,"Comedy, Mystery",Woody Allen,66
Infinite,"Science Fiction, Action, Thriller",Antoine Fuqua,66
Greta,"Mystery, Thriller, Horror",Neil Jordan,66
Oxygen,"Science Fiction, Thriller, Horror",Alexandre Aja,66
Pinocchio,"Drama, Family, Fantasy",Matteo Garrone,66
Lady Macbeth,Drama,William Oldroyd,66
The Son of Bigfoot,"Family, Animation, Comedy","Jérémie Degruson, Ben Stassen",66
Pokémon: Mewtwo Returns,"Animation, Family, Action, Adventure, Drama, Fantasy",Masamitsu Hidaka,66
The Gauntlet,"Drama, Action, Crime, Thriller",Clint Eastwood,66
Thirteen,Drama,Catherine Hardwicke,66
Road House,"Action, Thriller",Rowdy Herrington,66
The Wandering Earth,"Science Fiction, Action, Drama",Frant Gwo,66
When We First Met,"Comedy, Romance, Fantasy",Ari Sandel,66
Turbo Kid,"Action, Adventure, Comedy, Science Fiction","Anouk Whissell, François Simard, Yoann-Karl Whissell",66
Bubba Ho-tep,"Comedy, Horror, Thriller, Mystery, Fantasy",Don Coscarelli,66
The Curse of the Jade Scorpion,"Comedy, Crime, Romance",Woody Allen,66
Man Up,"Romance, Comedy",Ben Palmer,66
Barefoot,"Comedy, Drama, Romance",Andrew Fleming,66
Ender's Game,"Science Fiction, Action, Adventure",Gavin Hood,66
The Swan Princess,"Family, Animation, Fantasy, Adventure, Comedy",Richard Rich,66
Romper Stomper,"Action, Drama, Thriller",Geoffrey Wright,66
Spider,"Drama, Mystery, Thriller",David Cronenberg,66
Mary Queen of Scots,"Drama, History",Josie Rourke,66
Blade of the Immortal,"Action, Fantasy, Adventure",Takashi Miike,66
Mine,"War, Thriller","Fabio Resinaro, Fabio Guaglione",66
Super,"Comedy, Action, Drama",James Gunn,66
Hunting and Gathering,"Romance, Drama",Claude Berri,66
"Me, Myself & Irene",Comedy,"Peter Farrelly, Bobby Farrelly",66
Little Monsters,"Horror, Comedy",Abe Forsythe,66
In the Realm of the Senses,"Drama, Romance",Nagisa Ōshima,66
Black Rain,"Drama, Action, Thriller",Ridley Scott,66
Alex Strangelove,"Comedy, Drama",Craig Johnson,66
Jungle,"Adventure, Drama, Thriller",Greg McLean,66
The Grifters,"Crime, Drama",Stephen Frears,66
Sunshine Cleaning,"Comedy, Drama",Christine Jeffs,66
Cocoon: The Return,"Comedy, Science Fiction",Daniel Petrie,66
Phantasm,"Horror, Science Fiction",Don Coscarelli,66
The Four Feathers,"Action, Adventure, Drama, Romance, War",Shekhar Kapur,66
Reality Bites,"Drama, Comedy, Romance",Ben Stiller,66
Side Effects,"Thriller, Crime, Drama",Steven Soderbergh,66
Leroy & Stitch,"Animation, Comedy, Family","Roberts Gannaway, Tony Craig",66
New Jack City,"Thriller, Crime, Drama",Mario Van Peebles,66
Robin Hood: Men in Tights,Comedy,Mel Brooks,66
I'm Thinking of Ending Things,"Drama, Fantasy, Mystery, Thriller",Charlie Kaufman,66
Sliding Doors,"Comedy, Drama, Fantasy, Romance",Peter Howitt,66
On Her Majesty's Secret Service,"Adventure, Action, Thriller",Peter R. Hunt,66
Fairy Tail: Dragon Cry,"Action, Adventure, Comedy, Fantasy, Animation",Tatsuma Minamikawa,66
Flawless,"Crime, Drama, Thriller",Michael Radford,66
The American President,"Comedy, Drama, Romance",Rob Reiner,66
Stay,"Mystery, Thriller, Drama",Marc Forster,66
Radioactive,"Drama, Romance, History",Marjane Satrapi,66
Minimalism: A Documentary About the Important Things,Documentary,Matt D'Avella,66
Welcome to Marwen,"Comedy, Drama, Fantasy",Robert Zemeckis,66
Final Destination,Horror,James Wong,66
Risky Business,"Romance, Comedy, Drama",Paul Brickman,66
28 Weeks Later,"Horror, Thriller, Science Fiction",Juan Carlos Fresnadillo,66
The Last Word,"Comedy, Drama",Mark Pellington,66
Inherent Vice,"Drama, Mystery, Comedy",Paul Thomas Anderson,66
Out of the Furnace,"Thriller, Drama, Crime",Scott Cooper,66
There's Something About Mary,"Romance, Comedy","Bobby Farrelly, Peter Farrelly",66
The Legacy of the Bones,"Thriller, Crime",Fernando González Molina,66
The Green Knight,"Adventure, Drama, Fantasy",David Lowery,66
Truth,Drama,James Vanderbilt,66
The Last Man on Earth,"Horror, Science Fiction","Ubaldo Ragona, Sidney Salkow",66
"New York, New York","Drama, Music, Romance",Martin Scorsese,66
Titan A.E.,"Animation, Action, Science Fiction, Family, Adventure","Gary Goldman, Don Bluth",66
Experimenter,"Drama, History",Michael Almereyda,66
Suicide Club,"Drama, Horror, Thriller",Sion Sono,66
Luckiest Girl Alive,"Drama, Thriller, Mystery",Mike Barker,66
My Friend Dahmer,"Drama, Crime",Marc Meyers,66
Bernie,"Comedy, Crime, Drama",Richard Linklater,66
Secret Window,"Mystery, Thriller",David Koepp,66
Super Troopers,"Comedy, Crime, Mystery",Jay Chandrasekhar,66
Miss Potter,"Drama, Family, Romance",Chris Noonan,66
Old School,Comedy,Todd Phillips,66
The ComDads,Comedy,Francis Veber,66
Grandma's Boy,Comedy,Nicholaus Goossen,66
Appaloosa,"Drama, Western, Crime",Ed Harris,66
Cry-Baby,"Comedy, Music, Romance",John Waters,66
Australia,"Adventure, Drama, Romance",Baz Luhrmann,66
The Jane Austen Book Club,"Comedy, Romance",Robin Swicord,66
Nothing to Hide,"Drama, Comedy",Fred Cavayé,66
This Is Where I Leave You,"Drama, Comedy",Shawn Levy,66
The Great Raid,"Action, History, War",John Dahl,66
The People Under the Stairs,"Horror, Mystery",Wes Craven,66
The Howling,Horror,Joe Dante,66
Hanna,"Action, Thriller, Adventure",Joe Wright,66
Lethal Weapon 4,"Action, Adventure, Comedy, Crime, Thriller",Richard Donner,66
45 Years,"Drama, Romance",Andrew Haigh,66
The Art of Getting By,"Drama, Romance",Gavin Wiesen,66
Blind Fury,"Action, Thriller",Phillip Noyce,66
The Lion King 1½,"Family, Animation, Comedy, Action",Bradley Raymond,66
Sex and the City,"Comedy, Drama, Romance",Michael Patrick King,66
The Lost Daughter,Drama,Maggie Gyllenhaal,66
Happy-Go-Lucky,"Comedy, Drama",Mike Leigh,66
Night at the Museum,"Action, Adventure, Comedy, Family, Fantasy",Shawn Levy,66
The Lord of the Rings,"Adventure, Animation, Fantasy",Ralph Bakshi,66
Dragged Across Concrete,"Crime, Action, Thriller",S. Craig Zahler,66
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Comedy,Woody Allen,66
The Mighty Ducks,"Comedy, Family, Drama",Stephen Herek,66
Underworld: Evolution,"Fantasy, Action, Thriller",Len Wiseman,66
Dead Snow 2: Red vs. Dead,"Horror, Action, Comedy",Tommy Wirkola,66
High School Musical 3: Senior Year,"Comedy, Romance, Drama, Family, Music",Kenny Ortega,66
Hollywood Ending,"Comedy, Drama",Woody Allen,66
I'm Not There,"Drama, Music",Todd Haynes,66
Nell,"Drama, Thriller",Michael Apted,66
The Homesman,"Western, Drama",Tommy Lee Jones,66
Watcher,"Horror, Mystery, Thriller",Chloe Okuno,66
The Vast of Night,"Mystery, Science Fiction, Thriller, Drama",Andrew Patterson,66
The Conspirator,"Crime, Drama, History",Robert Redford,66
The Collector,"Horror, Thriller",Marcus Dunstan,66
High School Musical,"Comedy, Drama, Family, Music, Romance, TV Movie",Kenny Ortega,66
Funny Games,"Drama, Thriller, Horror",Michael Haneke,66
Return to Nim's Island,"Family, Adventure",Brendan Maher,66
Solo: A Star Wars Story,"Science Fiction, Adventure, Action",Ron Howard,66
Horrible Bosses,"Comedy, Crime",Seth Gordon,66
Cold in July,"Drama, Thriller",Jim Mickle,66
Recess: School's Out,"Science Fiction, Family, Comedy, Animation",Chuck Sheetz,66
True Crime,"Crime, Drama, Thriller, Mystery, Action",Clint Eastwood,66
Ocean's Twelve,"Thriller, Crime",Steven Soderbergh,66
Mortal,"Action, Fantasy, Thriller",André Øvredal,66
The Debt,"Drama, Thriller",John Madden,66
The Place Promised in Our Early Days,"Animation, Adventure, Drama, Romance, Science Fiction",Makoto Shinkai,66
Short Circuit,"Comedy, Family, Science Fiction",John Badham,66
Being the Ricardos,"Drama, History",Aaron Sorkin,66
Angel Has Fallen,"Action, Thriller",Ric Roman Waugh,66
The Sugarland Express,"Crime, Drama",Steven Spielberg,66
The Cotton Club,"Crime, Drama",Francis Ford Coppola,66
The Children Act,Drama,Richard Eyre,66
The Grey,"Drama, Thriller, Action, Adventure",Joe Carnahan,66
Monte Carlo,"Adventure, Comedy, Romance",Thomas Bezucha,66
A Night at the Roxbury,"Comedy, Music, Romance",John Fortenberry,66
Murder Mystery 2,"Comedy, Crime",Jeremy Garelick,66
It’s the Law,Comedy,"Valentino Picone, Salvatore Ficarra",66
The Fury of a Patient Man,Thriller,Raúl Arévalo,66
The Man with the Iron Heart,"War, Action, History, Thriller",Cédric Jimenez,66
It Follows,"Horror, Mystery",David Robert Mitchell,66
Unstoppable,"Action, Thriller",Tony Scott,66
The Entity,"Horror, Mystery, Thriller",Sidney J. Furie,66
Hamburger Hill,"War, Action, Drama",John Irvin,66
Walk Hard: The Dewey Cox Story,"Comedy, Music, Drama",Jake Kasdan,66
American Pie,"Comedy, Romance",Paul Weitz,66
Step Brothers,Comedy,Adam McKay,66
Brewster's Millions,Comedy,Walter Hill,66
Sudden Impact,"Crime, Action, Thriller",Clint Eastwood,66
You Only Live Twice,"Action, Thriller, Adventure",Lewis Gilbert,66
Saw II,Horror,Darren Lynn Bousman,66
Wish I Was Here,"Drama, Comedy",Zach Braff,66
The Warrior's Way,"Adventure, Fantasy, Action, Western, Thriller",Lee Seung-moo,66
Tales from Earthsea,"Animation, Fantasy, Adventure",Goro Miyazaki,66
Silver Bullet,Horror,Daniel Attias,66
James and the Giant Peach,"Adventure, Animation, Family, Fantasy",Henry Selick,66
Save the Last Dance,"Drama, Family, Romance, Music",Thomas Carter,66
Ninja: Shadow of a Tear,"Action, Crime, Thriller",Isaac Florentine,66
Shaft,"Action, Crime",Tim Story,66
The Art of Self-Defense,"Comedy, Thriller",Riley Stearns,66
Hot Shots!,"Action, Comedy, War",Jim Abrahams,66
Thor: Love and Thunder,"Fantasy, Action, Comedy",Taika Waititi,66
Seeking a Friend for the End of the World,"Comedy, Drama, Romance, Adventure",Lorene Scafaria,66
Snake Eyes: G.I. Joe Origins,"Action, Adventure",Robert Schwentke,66
Rolling to You,"Comedy, Romance",Franck Dubosc,66
You Were Never Really Here,"Crime, Drama, Thriller",Lynne Ramsay,66
Pitch Perfect 3,"Comedy, Music",Trish Sie,66
Halloween II,Horror,Rick Rosenthal,66
Dead Calm,"Thriller, Horror",Phillip Noyce,66
Star Wars: Episode II - Attack of the Clones,"Adventure, Action, Science Fiction",George Lucas,66
Da 5 Bloods,"War, Drama",Spike Lee,66
Alice Through the Looking Glass,"Adventure, Family, Fantasy",James Bobin,66
Chinese Puzzle,"Comedy, Drama, Romance",Cédric Klapisch,66
Night Train to Lisbon,"Mystery, Romance, Thriller",Bille August,66
Puss in Boots: The Three Diablos,"Adventure, Animation, Comedy, Family",Raman Hui,66
Trust,"Crime, Drama, Thriller",David Schwimmer,66
The Pledge,"Crime, Drama, Mystery, Thriller",Sean Penn,66
The Love Bug,"Comedy, Family, Fantasy",Robert Stevenson,66
Regarding Henry,"Romance, Drama",Mike Nichols,66
The Postman Always Rings Twice,"Romance, Crime, Drama",Bob Rafelson,66
The Eye,Horror,"Oxide Pang Chun, Danny Pang",66
Apt Pupil,"Drama, Thriller",Bryan Singer,66
EuroTrip,Comedy,Jeff Schaffer,66
Don't Listen,"Drama, Horror, Thriller",Ángel Gómez Hernández,65
The Giver,"Drama, Science Fiction",Phillip Noyce,65
Ninja Assassin,"Action, Adventure, Thriller",James McTeigue,65
Hitch,"Comedy, Drama, Romance",Andy Tennant,65
The Last Mercenary,"Action, Comedy",David Charhon,65
Jurassic World: Fallen Kingdom,"Action, Adventure, Science Fiction, Thriller",J. A. Bayona,65
The Measure of a Man,Drama,Stéphane Brizé,65
Austin Powers: International Man of Mystery,"Science Fiction, Comedy, Crime",Jay Roach,65
Some Like It Rare,"Comedy, Horror",Fabrice Eboué,65
Doodlebug,"Thriller, Fantasy, Mystery",Christopher Nolan,65
Pandorum,"Action, Horror, Mystery, Science Fiction, Thriller",Christian Alvart,65
Ace Ventura: Pet Detective,"Comedy, Adventure",Tom Shadyac,65
Pulse,"Horror, Thriller, Mystery",Kiyoshi Kurosawa,65
Naruto the Movie: Legend of the Stone of Gelel,"Animation, Adventure, Fantasy",Hirotsugu Kawasaki,65
Spun,"Comedy, Crime, Drama",Jonas Åkerlund,65
The Mask of Zorro,"Action, Adventure",Martin Campbell,65
Megaboa,"Horror, Action",Mario N. Bonassin,65
Jarhead: Law of Return,War,Don Michael Paul,65
The New World,"Drama, History, Romance",Terrence Malick,65
The Fox and the Child,"Adventure, Family",Luc Jacquet,65
Halloween,"Horror, Thriller",David Gordon Green,65
Tulip Fever,"Drama, Romance",Justin Chadwick,65
The Company Men,Drama,John Wells,65
Hot Shots! Part Deux,"Action, Comedy, War",Jim Abrahams,65
The Simpsons in Plusaversary,"Animation, Comedy, Fantasy",David Silverman,65
I Don't Feel at Home in This World Anymore,"Thriller, Drama, Crime, Comedy",Macon Blair,65
Hell House LLC,"Horror, Mystery, Thriller",Stephen Cognetti,66
Stripes,"Action, Comedy",Ivan Reitman,65
No Reservations,"Comedy, Romance, Drama",Scott Hicks,65
The Girl with All the Gifts,"Action, Horror, Science Fiction",Colm McCarthy,65
Irrational Man,"Drama, Comedy, Crime",Woody Allen,65
Frequencies,"Romance, Science Fiction, Mystery",Darren Paul Fisher,65
Thor: The Dark World,"Action, Adventure, Fantasy",Alan Taylor,65
"I Love You, Man","Comedy, Romance",John Hamburg,65
Heaven Can Wait,"Fantasy, Comedy, Romance","Warren Beatty, Buck Henry",65
The Legend of Bagger Vance,"Drama, Fantasy",Robert Redford,65
Silent Hill,"Horror, Mystery",Christophe Gans,65
Escape Room,"Horror, Thriller, Mystery",Adam Robitel,65
Cinderella III: A Twist in Time,"Animation, Romance, Family, Fantasy",Frank Nissen,65
Find Me Guilty,"Comedy, Crime, Drama",Sidney Lumet,65
Charlie Wilson's War,"Comedy, Drama, History",Mike Nichols,65
Obvious Child,"Comedy, Romance",Gillian Robespierre,65
Terrifier,"Horror, Thriller",Damien Leone,65
Slayers Return,"Animation, Adventure, Comedy, Fantasy",Hiroshi Watanabe,65
Cruising,"Crime, Mystery, Thriller",William Friedkin,65
Weird Science,"Comedy, Romance, Science Fiction",John Hughes,65
The Exorcism of Emily Rose,"Crime, Drama, Horror, Thriller",Scott Derrickson,65
Thank You for Your Service,"Drama, War",Jason Hall,65
The Neon Demon,"Thriller, Horror",Nicolas Winding Refn,65
License to Drive,"Comedy, Family",Greg Beeman,65
Ghost Town,"Drama, Comedy, Fantasy",David Koepp,65
Dragon Hunters,"Animation, Family","Arthur Qwak, Guillaume Ivernel",65
Dan in Real Life,"Comedy, Romance, Drama",Peter Hedges,65
Spenser Confidential,"Comedy, Action, Thriller",Peter Berg,65
King Arthur: Legend of the Sword,"Action, Drama, Fantasy",Guy Ritchie,65
Mr. Turner,"History, Drama",Mike Leigh,65
Get the Gringo,"Action, Thriller, Crime, Drama",Adrian Grünberg,65
Undisputed,"Drama, Crime",Walter Hill,65
Raise Your Voice,"Music, Drama, Romance",Sean McNamara,65
Host,"Horror, Thriller, Mystery",Rob Savage,65
Ramona and Beezus,"Comedy, Family",Elizabeth Allen Rosenbaum,65
Revenge,"Romance, Thriller, Drama",Tony Scott,65
Flesh + Blood,"Adventure, Drama",Paul Verhoeven,65
Falling Inn Love,"Romance, Comedy",Roger Kumble,65
Nicky Larson and the Cupid's Perfume,"Adventure, Comedy",Philippe Lacheau,65
The Gendarme Gets Married,Comedy,Jean Girault,65
Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy",Rob Marshall,65
Kalifornia,"Thriller, Crime",Dominic Sena,65
The Man Without a Face,Drama,Mel Gibson,65
Paranoid Park,"Mystery, Crime, Drama",Gus Van Sant,65
Flyboys,"Action, Adventure, Drama, History, Romance, War",Tony Bill,65
Blindness,"Drama, Mystery, Science Fiction, Thriller",Fernando Meirelles,65
Ghostbusters II,"Comedy, Fantasy",Ivan Reitman,65
Red Sparrow,"Mystery, Thriller",Francis Lawrence,65
2 Guns,"Action, Comedy, Crime",Baltasar Kormákur,65
Star Wars: Episode I - The Phantom Menace,"Adventure, Action, Science Fiction",George Lucas,65
Spectre,"Action, Adventure, Thriller",Sam Mendes,65
The East,"Drama, Thriller",Zal Batmanglij,65
Double Jeopardy,"Thriller, Crime, Mystery, Drama",Bruce Beresford,65
Spell,"Thriller, Horror, Fantasy",Mark Tonderai,65
Honest Thief,"Thriller, Action, Crime, Drama",Mark Williams,65
Bridesmaids,"Comedy, Romance",Paul Feig,65
LOL (Laughing Out Loud),Comedy,Lisa Azuelos,65
High School Musical 2,"Comedy, Drama, Family, Music, Romance, TV Movie",Kenny Ortega,65
Colors,"Action, Crime, Drama",Dennis Hopper,65
DragonHeart,"Fantasy, Action, Adventure, Drama",Rob Cohen,65
Holiday in the Wild,"Romance, Comedy",Ernie Barbarash,65
City Hunter,"Action, Adventure, Comedy, Romance",Wong Jing,65
Subway,"Action, Thriller",Luc Besson,65
The Under-Gifted,Comedy,Claude Zidi,65
Lionheart,Action,Sheldon Lettich,65
Event Horizon,"Horror, Science Fiction, Mystery",Paul W. S. Anderson,65
Outbreak,"Action, Drama, Science Fiction, Thriller",Wolfgang Petersen,65
Everybody Knows,"Crime, Drama, Mystery, Thriller",Asghar Farhadi,65
Saint Seiya: Legend of Sanctuary,"Action, Animation, Fantasy",Keiichi Sato,65
Anna,"Thriller, Drama",Jorge Dorado,65
What a Beautiful Day,Comedy,Gennaro Nunziante,65
The Lost World: Jurassic Park,"Adventure, Action, Science Fiction",Steven Spielberg,65
Prometheus,"Science Fiction, Adventure, Mystery",Ridley Scott,65
The Karate Kid,"Action, Adventure, Drama, Family",Harald Zwart,65
The Crush,"Drama, Thriller",Alan Shapiro,65
Night Hunter,"Drama, Thriller",David Raymond,65
Fragile,"Horror, Thriller, Mystery",Jaume Balagueró,65
Basic,"Action, Drama, Mystery, Thriller, Crime",John McTiernan,65
Dinosaur,"Family, Animation","Ralph Zondag, Eric Leighton",65
"Elvira, Mistress of the Dark","Horror, Comedy",James Signorelli,65
Puss in Boots,"Animation, Family, Fantasy, Adventure, Comedy, Western",Chris Miller,65
Hippocrates,Drama,Thomas Lilti,65
RED 2,"Action, Comedy, Crime, Thriller",Dean Parisot,65
Hitchcock,Drama,Sacha Gervasi,65
Over the Hedge,"Family, Comedy, Animation","Karey Kirkpatrick, Tim Johnson",65
Saving Grace,"Crime, Comedy",Nigel Cole,65
Joe,Drama,David Gordon Green,65
Mother's Day,"Thriller, Crime, Horror",Darren Lynn Bousman,65
Halloween Kills,"Horror, Thriller",David Gordon Green,65
A Cinderella Story,"Comedy, Family, Romance",Mark Rosman,65
Death to 2020,Comedy,"Alice Mathias, Al Campbell",65
The Birth of a Nation,Drama,Nate Parker,65
Homeward Bound II: Lost in San Francisco,"Adventure, Comedy, Drama, Family",David R. Ellis,65
The Rebound,"Romance, Comedy",Bart Freundlich,65
Annie,"Comedy, Drama, Family",John Huston,65
The Prophecy,"Horror, Fantasy, Thriller",Gregory Widen,65
The Running Man,"Action, Science Fiction, Thriller",Paul Michael Glaser,65
Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller",David Carson,65
Return to Space,Documentary,"Elizabeth Chai Vasarhelyi, Jimmy Chin",65
The Matrix Resurrections,"Science Fiction, Action, Adventure",Lana Wachowski,65
For Love of the Game,Drama,Sam Raimi,65
Last Seen Alive,"Action, Thriller",Brian Goodman,65
Killer Joe,"Crime, Thriller, Drama",William Friedkin,65
From Beyond,"Horror, Science Fiction",Stuart Gordon,65
Arthur,"Comedy, Drama, Romance",Steve Gordon,65
Jackass Number Two,"Action, Comedy, Documentary",Jeff Tremaine,65
The Witches of Eastwick,"Comedy, Fantasy",George Miller,65
Kingpin,Comedy,"Bobby Farrelly, Peter Farrelly",65
Harold & Kumar Go to White Castle,"Comedy, Adventure",Danny Leiner,65
Swimming Pool,"Crime, Thriller",François Ozon,65
The Postcard Killings,"Drama, Thriller",Danis Tanović,65
Dragonfly,"Thriller, Fantasy",Tom Shadyac,65
Coming 2 America,Comedy,Craig Brewer,65
The Translators,"Mystery, Thriller",Régis Roinsard,65
Time Lapse,"Thriller, Science Fiction, Mystery, Horror",Bradley King,65
The Babadook,"Drama, Horror",Jennifer Kent,65
I Spit on Your Grave,"Thriller, Crime, Horror",Steven R. Monroe,65
L'allenatore nel pallone,Comedy,Sergio Martino,65
Blade II,"Fantasy, Horror, Action, Thriller",Guillermo del Toro,65
It's Complicated,"Comedy, Romance",Nancy Meyers,65
Miss Congeniality,"Comedy, Crime, Action",Donald Petrie,65
X-Men: Apocalypse,"Action, Adventure, Science Fiction, Fantasy",Bryan Singer,65
The Quick and the Dead,"Western, Action, Thriller",Sam Raimi,65
Bad Santa,"Drama, Comedy, Crime",Terry Zwigoff,65
Queenpins,"Comedy, Crime","Aron Gaudet, Gita Pullapilly",65
Seoul Station,"Animation, Horror, Science Fiction, Action, Adventure, Thriller",Yeon Sang-ho,65
Penguins of Madagascar,"Family, Animation, Adventure, Comedy","Simon J. Smith, Eric Darnell",65
Bring It On: In It to Win It,Comedy,Steve Rash,65
The Brave One,"Crime, Drama, Thriller",Neil Jordan,65
The Informer,"Drama, Crime, Thriller",Andrea Di Stefano,65
Return,Drama,Liza Johnson,65
Kong: Skull Island,"Action, Adventure, Fantasy",Jordan Vogt-Roberts,65
Joy,"Drama, Comedy",David O. Russell,65
He's Just Not That Into You,"Comedy, Romance, Drama",Ken Kwapis,65
MouseHunt,"Comedy, Family",Gore Verbinski,65
Rambo: Last Blood,"Action, Thriller, Drama",Adrian Grünberg,65
Mary Poppins Returns,"Fantasy, Family, Comedy",Rob Marshall,65
Bride & Prejudice,"Drama, Comedy, Romance",Gurinder Chadha,65
Four Flies on Grey Velvet,"Thriller, Mystery, Horror",Dario Argento,65
The Faculty,"Horror, Science Fiction, Mystery",Robert Rodriguez,65
Shaft,"Action, Crime, Thriller",Gordon Parks,65
Evil Dead,Horror,Fede Álvarez,65
My Bloody Valentine,"Horror, Thriller, Mystery",George Mihalka,65
Scary Stories to Tell in the Dark,"Horror, Thriller",André Øvredal,65
Big Stan,Comedy,Rob Schneider,65
Behind the Mask: The Rise of Leslie Vernon,"Comedy, Horror, Thriller",Scott Glosserman,65
The Chronicles of Riddick,"Action, Science Fiction",David Twohy,65
The Christmas Chronicles: Part Two,"Family, Fantasy, Adventure, Comedy",Chris Columbus,65
The Lego Ninjago Movie,"Family, Animation, Action, Adventure, Comedy","Paul Fisher, Bob Logan, Charlie Bean",65
Small Soldiers,"Comedy, Adventure, Fantasy, Science Fiction, Action",Joe Dante,65
Everyone Says I Love You,"Comedy, Romance",Woody Allen,65
For Your Eyes Only,"Adventure, Action, Thriller",John Glen,65
When Mom Is Away,Comedy,Alessandro Genovesi,65
Men in Black 3,"Action, Comedy, Science Fiction",Barry Sonnenfeld,65
Wanted,"Action, Thriller, Crime",Timur Bekmambetov,65
The Invisible Guardian,Thriller,Fernando González Molina,65
Flashdance,"Drama, Romance",Adrian Lyne,65
Things to Do in Denver When You're Dead,"Drama, Crime",Gary Fleder,65
The Kill Team,"War, Action, Drama",Dan Krauss,65
Bride of Re-Animator,"Horror, Comedy, Science Fiction",Brian Yuzna,65
The Tigger Movie,"Family, Animation, Comedy",Jun Falkenstein,65
Mr. Harrigan's Phone,"Drama, Thriller, Horror, Mystery",John Lee Hancock,65
Let's Dance,"Music, Comedy, Drama",Ladislas Chollat,65
Genius,"History, Drama",Michael Grandage,65
R.I.P.D. 2: Rise of the Damned,"Action, Comedy, Fantasy, Crime",Paul Leyden,65
The Double,"Thriller, Drama",Richard Ayoade,65
Red Tails,"Drama, Action, Adventure, History, War",Anthony Hemingway,65
Osmosis Jones,"Adventure, Animation, Action, Comedy, Family","Peter Farrelly, Bobby Farrelly",65
The Day After Tomorrow,"Action, Adventure, Science Fiction, Thriller",Roland Emmerich,65
Can You Keep a Secret?,"Romance, Comedy",Elise Duran,65
7 Days in Hell,"TV Movie, Comedy",Jake Szymanski,65
Them Who?,Comedy,"Fabio Bonifacci, Francesco Miccichè",65
What's Your Number?,"Comedy, Romance",Mark Mylod,65
Pokémon 3: The Movie,"Adventure, Fantasy, Animation, Action, Family",Kunihiko Yuyama,65
The Silencing,"Thriller, Action",Robin Pront,65
A Rainy Day in New York,"Comedy, Romance",Woody Allen,65
Mowgli: Legend of the Jungle,"Adventure, Drama",Andy Serkis,65
Bad Moms,Comedy,"Scott Moore, Jon Lucas",65
Burnt,Drama,John Wells,65
Hey Arnold! The Movie,"Animation, Comedy, Family",Tuck Tucker,65
Water Lilies,"Drama, Romance",Céline Sciamma,65
Operation Mincemeat,"War, History, Drama",John Madden,65
Charlie's Angels,"Action, Adventure, Comedy",Elizabeth Banks,65
Epic,"Animation, Adventure, Family, Fantasy",Chris Wedge,65
Mad Money,"Action, Comedy, Crime",Callie Khouri,65
Slither,"Horror, Science Fiction, Comedy",James Gunn,65
Alibi.com,Comedy,Philippe Lacheau,65
Scouts Guide to the Zombie Apocalypse,"Comedy, Horror",Christopher Landon,65
Romantics Anonymous,"Drama, Comedy, Romance",Jean-Pierre Améris,65
Underworld: Rise of the Lycans,"Fantasy, Action, Thriller",Patrick Tatopoulos,65
Young Guns II,"Western, Adventure",Geoff Murphy,65
Project Power,"Action, Crime, Science Fiction","Ariel Schulman, Henry Joost",65
The Personal History of David Copperfield,Comedy,Armando Iannucci,65
Light of My Life,"Science Fiction, Drama",Casey Affleck,65
Fifty Shades Darker,"Drama, Romance",James Foley,65
Before I Go to Sleep,"Thriller, Mystery",Rowan Joffe,65
Spree,"Thriller, Horror, Comedy",Eugene Kotlyarenko,65
Sand Castle,"War, Action, Drama",Fernando Coimbra,65
Elysium,"Science Fiction, Action, Drama, Thriller",Neill Blomkamp,65
Role Models,Comedy,David Wain,65
Mr. Nice Guy,"Crime, Action, Comedy",Sammo Hung,65
A Perfect Murder,"Crime, Thriller, Drama",Andrew Davis,65
Star Trek: The Motion Picture,"Science Fiction, Adventure, Mystery",Robert Wise,65
Dragon Ball Z: The Tree of Might,"Action, Animation, Science Fiction",Daisuke Nishio,65
Bambi II,"Animation, Drama, Family",Brian Pimental,65
The Living Daylights,"Action, Adventure, Thriller",John Glen,65
War of the Worlds,"Adventure, Thriller, Science Fiction",Steven Spielberg,65
Restless,"Drama, Romance",Gus Van Sant,65
Mulan II,"Animation, Comedy, Family, Action","Lynne Southerland, Darrell Rooney",65
The Money Pit,"Comedy, Romance",Richard Benjamin,65
Before I Wake,"Drama, Fantasy, Horror, Thriller",Mike Flanagan,65
The Amazing Spider-Man 2,"Action, Adventure, Fantasy",Marc Webb,65
